operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
AdaptiveAvgPool3D,1,"[[2, 32, 64, 64, 64]]","[""float16""]","{""output_size"": [8, 8, 8]}","[-1, 1]",501.69,17.48,M-float16-16M-对齐-output=8x8x8 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,2,"[[4, 64, 32, 32, 32]]","[""float32""]","{""output_size"": [1, 1, 1]}","[-2, 2]",32.62,17.48,M-float32-8M-对齐-全局池化-1x1x1 | baseline_kernels: ReduceMean×1
AdaptiveAvgPool3D,3,"[[2, 128, 16, 16, 16]]","[""bfloat16""]","{""output_size"": [4, 4, 4]}","[-3, 3]",46.90,1.09,S-bfloat16-1M-对齐-output=4x4x4 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,4,"[[4, 64, 16, 16, 16]]","[""float16""]","{""output_size"": [32, 32, 32]}","[-10, 10]",468.79,2.80,M-float16-1M-aligned-upsample-2x-真正上采样（输入<输出） | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,5,"[[8, 32, 64, 64, 64]]","[""float32""]","{""output_size"": [32, 32, 32]}","[-100, 100]",2604.01,139.81,L-float32-268M-对齐-downsample-2x-32x32x32 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,6,"[[1, 64, 128, 128, 128]]","[""bfloat16""]","{""output_size"": [64, 64, 64]}","[-1000, 1000]",3055.66,139.81,L-bfloat16-1G-对齐-downsample-2x-64x64x64 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,7,"[[3, 31, 63, 63, 63]]","[""float16""]","{""output_size"": [7, 7, 7]}","[-0.1, 0.1]",936.74,24.22,M-float16-2M-质数非对齐-output=7x7x7-微小值域 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,8,"[[2, 63, 31, 31, 31]]","[""float32""]","{""output_size"": [5, 5, 5]}","[-1, 2]",187.92,7.82,M-float32-300K-非对齐-output=5x5x5-非对称 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,9,"[[3, 47, 23, 23, 23]]","[""bfloat16""]","{""output_size"": [11, 11, 11]}","[-5, 10]",185.38,1.79,S-bfloat16-100K-质数非对齐-output=11x11x11-非对称 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,10,"[[5, 97, 43, 43, 43]]","[""float16""]","{""output_size"": [13, 13, 13]}","[-50, 100]",1269.14,40.17,M-float16-4M-质数非对齐-output=13x13x13 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,11,"[[2, 257, 65, 65, 65]]","[""float16""]","{""output_size"": [7, 7, 7]}","[-65504, 65504]",2033.14,147.04,L-float16-2M-非对齐-float16边界值 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,12,"[[3, 7, 13, 97, 103]]","[""float32""]","{""output_size"": [5, 11, 13]}","[-88, 88]",681.15,5.68,M-float32-300K-质数非对齐-float32边界值 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,13,"[[2, 31, 31, 31, 31]]","[""float32""]","{""output_size"": [8, 8, 8]}","[""-inf"", ""inf""]",171.16,3.85,S-float32-2M-非对齐-inf特殊值 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,14,"[[2, 11, 13, 17, 19]]","[""float16""]","{""output_size"": [3, 3, 3]}","[""nan"", ""nan""]",92.54,1,S-float16-100K-质数非对齐-nan特殊值 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,15,"[[4, 63, 31, 31, 31]]","[""bfloat16""]","{""output_size"": [4, 4, 4]}","[0, 0]",317.45,7.82,M-bfloat16-2M-非对齐-零值 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,16,"[[2, 32, 63, 63, 63]]","[""float16""]","{""output_size"": [16, 16, 16]}","[-0.5, 0.5]",815.90,16.67,M-float16-1M-混合非对齐-downsample-微小值域 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,17,"[[3, 63, 63, 63, 127]]","[""float32""]","{""output_size"": [7, 7, 7]}","[-1, 3]",2997.66,198.47,L-float32-200M-非对齐-downsample-非对称 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,18,"[[2, 128, 15, 15, 15]]","[""bfloat16""]","{""output_size"": [3, 3, 3]}","[-1000, 1000]",56.14,1,S-bfloat16-100K-混合非对齐-downsample-大值域 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
AdaptiveAvgPool3D,19,"[[4, 31, 31, 31, 31]]","[""float16""]","{""output_size"": [1, 1, 1]}","[-0.2, 0.2]",13.40,3.85,S-float16-400K-质数非对齐-全局池化-微小值域 | baseline_kernels: ReduceMean×1
AdaptiveAvgPool3D,20,"[[2, 63, 63, 127, 127]]","[""float32""]","{""output_size"": [32, 32, 32]}","[-3, 6]",6004.96,266.73,L-float32-268M-质数非对齐-downsample-非对称中值域 | baseline_kernels: Transpose×2 + AdaptiveAvgPool3d×1
