case_id,operator,input_shape,dtype,attrs,value_range,note
1,GroupedDynamicBlockQuant,"[[1024,2048],[1]]","[""float16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":35,""row_block_size"":1,""col_block_size"":128,""group_list_type"":0}","[[-1,0],[0,1024]]",S-fp16-e5m2-2D-2M-对齐
2,GroupedDynamicBlockQuant,"[[2048,4096],[1]]","[""bfloat16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":36,""row_block_size"":1,""col_block_size"":128,""group_list_type"":0}","[[-2,0],[0,2048]]",M-bf16-e4m3-2D-8M-对齐
3,GroupedDynamicBlockQuant,"[[4096,4096],[1]]","[""float16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":35,""row_block_size"":128,""col_block_size"":128,""group_list_type"":0}","[[-3,0],[0,4096]]",L-fp16-e5m2-2D-16M-对齐
4,GroupedDynamicBlockQuant,"[[8192,4096],[1]]","[""bfloat16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":36,""row_block_size"":256,""col_block_size"":256,""group_list_type"":0}","[[-10,0],[0,8192]]",L-bf16-e4m3-2D-33M-对齐
5,GroupedDynamicBlockQuant,"[[4,1024,1024],[1]]","[""float16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":35,""row_block_size"":1,""col_block_size"":128,""group_list_type"":0}","[[-50,0],[0,1024]]",M-fp16-e5m2-3D-4M-对齐
6,GroupedDynamicBlockQuant,"[[8,2048,1024],[1]]","[""bfloat16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":36,""row_block_size"":128,""col_block_size"":128,""group_list_type"":0}","[[-100,0],[0,2048]]",L-bf16-e4m3-3D-16M-对齐
7,GroupedDynamicBlockQuant,"[[1023,2047],[1]]","[""bfloat16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":35,""row_block_size"":1,""col_block_size"":128,""group_list_type"":0}","[[-0.1,0],[0,1023]]",S-bf16-e5m2-2D-2M-非对齐
8,GroupedDynamicBlockQuant,"[[1009,1021],[1]]","[""float16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":36,""row_block_size"":128,""col_block_size"":64,""group_list_type"":0}","[[-1,0],[0,1009]]",S-fp16-e4m3-2D-1M-非对齐
9,GroupedDynamicBlockQuant,"[[1537,768],[1]]","[""bfloat16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":35,""row_block_size"":1,""col_block_size"":64,""group_list_type"":0}","[[-5,0],[0,1537]]",S-bf16-e5m2-2D-1M-非对齐
10,GroupedDynamicBlockQuant,"[[64,373,384],[1]]","[""bfloat16"",""int32""]","{""min_scale"":0.0,""round_mode"":""rint"",""dst_type"":36,""row_block_size"":128,""col_block_size"":128,""group_list_type"":0}","[[-50,0],[0,373]]",M-bf16-e4m3-3D-9M-非对齐
